codice_sku,nome_prodotto,marca,categoria,sottocategoria,unita_misura,quantita_disponibile,quantita_minima,stato_scorte,prezzo_acquisto_eur,prezzo_vendita_eur,margine_pct,iva_pct,fornitore,scaffale,data_scadenza
SKU10850,Spinaci,Bonduelle,Frutta e Verdura,Funghi,kg,105,11,OK,11.9,15.65,31.5,4,Agrimax Coop,I13,2026-07-01
SKU10859,Dado di carne,Heinz,Conserve e Legumi,Verdure conservate,pz,117,10,OK,14.86,18.95,27.5,10,Macro Distribuzione,L09,2029-02-20
SKU10864,Tè freddo al limone,Coca-Cola,Bevande,Succhi,cl,57,14,OK,26.82,33.84,26.2,22,BioItalia Srl,L12,2028-12-13
SKU10872,Peperoni sott'aceto,Valfrutta,Conserve e Legumi,Verdure conservate,g,70,28,OK,15.83,24.12,52.4,10,Fresh Logistics Srl,L09,2028-07-01
SKU10879,Cracker integrali,Galbusera,Pane e Bakery,Grissini e Crackers,pz,20,27,CRITICO,8.35,10.56,26.5,10,Import & Export Frescura,I03,2026-07-16
SKU10883,Gamberetti surgelati,Rana,Surgelati,Pesce surgelato,g,189,24,OK,19.58,23.59,20.5,10,Distribuzione Sud Srl,L07,2028-02-19
SKU10887,Pesto alla genovese 190g,Bertolli,Condimenti e Spezie,Aceto,ml,25,20,OK,3.08,3.95,28.2,10,Continental Trade,C11,2027-11-14
SKU10895,Patatine ondulate,Pavesi,Dolci e Snack,Biscotti,g,165,14,OK,21.24,26.87,26.5,22,Fresh Logistics Srl,D15,2028-03-24
SKU10896,Prosciutto cotto alta qualità,Beretta,Carne,Salumi,kg,201,17,OK,26.17,30.48,16.5,10,Import & Export Frescura,A10,2026-06-28
SKU10901,Birra Peroni 33cl,Levissima,Bevande,Alcol,ml,164,19,OK,26.02,33.41,28.4,22,Continental Trade,H15,2027-09-28
SKU10905,Detersivo piatti liquido 500ml,Scottex,Pulizia Casa,Detersivi cucina,ml,183,13,OK,4.8,6.4,33.3,22,Macro Distribuzione,F01,2028-07-25
SKU10908,Caffè in grani 500g,Barilla,Bevande,Acqua,ml,102,7,OK,23.21,31.48,35.6,22,Agrimax Coop,I03,2027-11-19
SKU10912,Ananas,Bonduelle,Frutta e Verdura,Frutta fresca,mazzo,77,15,OK,6.82,9.9,45.2,4,Macro Distribuzione,L13,2026-07-01
SKU10913,Aceto di vino bianco 500ml,Heinz,Condimenti e Spezie,Salse,g,236,21,OK,8.8,11.55,31.2,10,Nord Food SpA,K14,2027-07-23
SKU10919,"Sprite 1,5L",Coca-Cola,Bevande,Succhi,pz,191,19,OK,26.82,35.97,34.1,22,Continental Trade,I01,2029-02-05
SKU10928,Sacchi immondizia 30L x30,Lysoform,Pulizia Casa,Detersivi lavatrice,rotoli,223,24,OK,21.4,30.43,42.2,22,Mediterr. Foods,J01,2029-07-05
SKU10930,"Acqua frizzante 0,5L",Nestlé Pure Life,Bevande,Bibite,ml,146,11,OK,23.26,35.15,51.1,22,Macro Distribuzione,I14,2028-03-19
SKU10932,Salsa di pomodoro pronta,Knorr,Condimenti e Spezie,Olio,L,114,21,OK,16.45,19.52,18.7,10,Agrimax Coop,I12,2027-11-23
SKU10940,"Acqua frizzante 1,5L",Peroni,Bevande,Alcol,cl,5,28,CRITICO,13.11,19.31,47.3,22,Distribuzione Sud Srl,D11,2028-08-06
SKU10942,Insalata mista,Bonduelle,Frutta e Verdura,Frutta fresca,pz,239,6,OK,19.7,26.92,36.6,4,Distribuzione Sud Srl,E14,2026-07-04
SKU10945,Detersivo lavastoviglie polvere 3kg,Regina,Pulizia Casa,Carta casa,pz,222,19,OK,10.67,16.07,50.6,22,Nord Food SpA,L10,2028-03-24
SKU10951,Pecorino romano,Müller,Latticini e Uova,Latte,L,213,12,OK,11.19,13.44,20.1,10,Import & Export Frescura,H14,2026-08-06
SKU10958,Lasagne alla bolognese surgelate,Bird's Eye,Surgelati,Verdure surgelate,g,48,13,OK,7.16,9.23,28.9,10,Frigo Transport SpA,K08,2026-09-10
SKU10962,Orata intera,Rio Mare,Pesce,Pesce fresco,kg,180,26,OK,16.75,22.25,32.8,10,Distribuzione Sud Srl,G13,2026-07-05
SKU10966,Bastoncini di merluzzo,Findus,Surgelati,Piatti pronti,conf,208,12,OK,4.18,6.47,54.8,10,Fresh Logistics Srl,L08,2027-07-19
SKU10970,Fusilli 500g,Buitoni,Pasta e Riso,Pasta lunga,kg,15,13,OK,14.74,19.39,31.5,4,Continental Trade,I07,2027-02-09
SKU10976,Curcuma,Heinz,Condimenti e Spezie,Aceto,L,104,18,OK,22.07,28.19,27.7,10,Frigo Transport SpA,D03,2028-03-27
SKU10984,Acciughe sott'olio,Callipo,Pesce,Pesce fresco,conf,234,19,OK,24.05,29.05,20.8,10,Frigo Transport SpA,H02,2026-07-06
SKU10993,Costolette di maiale,Beretta,Carne,Salumi,conf,236,7,OK,7.36,9.44,28.3,10,Nord Food SpA,J03,2026-07-09
SKU10997,Melograno,Bonduelle,Frutta e Verdura,Verdura fresca,pz,48,7,OK,18.96,26.38,39.1,4,BioItalia Srl,F11,2026-07-02
SKU10998,Sgombro in scatola,MarcaRe,Pesce,Molluschi,conf,178,12,OK,20.99,30.47,45.2,10,BioItalia Srl,G12,2026-07-01
SKU11007,Piselli in scatola,Heinz,Conserve e Legumi,Verdure conservate,pz,66,14,OK,13.22,18.63,40.9,10,Mediterr. Foods,H15,2027-04-02
SKU11015,Detergente bagno 500ml,Lysoform,Pulizia Casa,Detersivi cucina,L,221,23,OK,10.57,13.91,31.6,22,Distribuzione Sud Srl,E07,2029-10-28
SKU11020,Ali di pollo,Fiorucci,Carne,Pollame,conf,127,12,OK,6.67,9.19,37.8,10,Mediterr. Foods,K15,2026-07-09
SKU11028,Digestive McVitie's,Kinder,Dolci e Snack,Snack salati,g,139,28,OK,22.32,27.18,21.8,22,Continental Trade,K15,2026-11-23
SKU11037,Timo,MarcaRe,Frutta e Verdura,Frutta fresca,conf,59,25,OK,21.47,28.23,31.5,4,Distribuzione Sud Srl,D11,2026-07-06
SKU11045,Pomodori pelati 800g,Star,Conserve e Legumi,Condimenti,g,168,20,OK,17.97,27.38,52.4,10,Distribuzione Sud Srl,J02,2028-07-09
SKU11052,Mele Fuji,Benessere,Frutta e Verdura,Funghi,conf,208,21,OK,15.14,19.15,26.5,4,Nord Food SpA,B10,2026-07-06
SKU11055,Sgombro in scatola,SmartBuy,Pesce,Pesce fresco,g,101,30,OK,7.29,9.42,29.2,10,Frigo Transport SpA,H13,2026-07-07
SKU11059,Sapone liquido mani 300ml,Dove,Igiene Personale,Detersivi corpo,ml,219,25,OK,19.25,28.67,48.9,22,Frigo Transport SpA,G08,2029-08-06
SKU11068,Biscotti integrali,Kinder,Dolci e Snack,Snack salati,conf,216,20,OK,0.56,0.68,21.4,22,Macro Distribuzione,J10,2026-12-30
SKU11077,Anguria,SmartBuy,Frutta e Verdura,Erbe aromatiche,kg,175,7,OK,13.47,15.74,16.9,4,Agrimax Coop,F06,2026-06-28
SKU11081,"Coca-Cola 1,5L",Barilla,Bevande,Alcol,cl,61,23,OK,26.03,33.05,27.0,22,Frigo Transport SpA,C06,2029-03-11
SKU11083,Pizza prosciutto surgelata,Findus,Surgelati,Gelati,kg,87,7,OK,3.01,3.74,24.3,10,Distribuzione Sud Srl,K13,2027-05-31
SKU11091,Wafer al cioccolato,Bauli,Dolci e Snack,Snack salati,g,174,10,OK,15.62,20.31,30.0,22,Fresh Logistics Srl,F01,2027-06-03
SKU11093,Emmental,Grana Padano DOP,Latticini e Uova,Yogurt,pz,189,9,OK,10.83,15.85,46.4,10,Macro Distribuzione,B13,2026-07-08
SKU11094,Riso Basmati 500g,Garofalo,Pasta e Riso,Cereali secchi,kg,47,7,OK,21.39,25.47,19.1,4,Continental Trade,J08,2028-05-30
SKU11101,Latte parzialmente scremato,Granarolo,Latticini e Uova,Burro e Panna,kg,200,24,OK,10.1,11.99,18.7,10,Distribuzione Sud Srl,E15,2026-07-29
SKU11108,Ammorbidente 1L,Lysoform,Pulizia Casa,Detersivi cucina,g,43,17,OK,16.14,19.66,21.8,22,Import & Export Frescura,E09,2030-03-31
SKU11111,Gorgonzola,Sterilgarda,Latticini e Uova,Burro e Panna,pz,19,30,CRITICO,7.94,10.08,27.0,10,BioItalia Srl,K11,2026-08-03
SKU11115,Ringo classici,Pavesi,Dolci e Snack,Snack salati,pz,215,15,OK,8.74,13.37,53.0,22,Mediterr. Foods,F11,2027-12-08
SKU11118,Lasagne 500g,Arborio,Pasta e Riso,Cereali secchi,kg,45,15,OK,26.54,32.65,23.0,4,Import & Export Frescura,L13,2028-10-01
SKU11126,Prosecco DOC 750ml,Coca-Cola,Bevande,Succhi,L,100,30,OK,9.33,11.78,26.3,22,Fresh Logistics Srl,D07,2028-08-20
SKU11135,Wurstel classici,Amadori,Carne,Salumi,conf,53,27,OK,26.7,35.64,33.5,10,Nord Food SpA,G15,2026-07-08
SKU11143,Wurstel di pollo,Fiorucci,Carne,Salumi,kg,108,27,OK,7.0,9.89,41.3,10,Mediterr. Foods,K04,2026-07-05
SKU11150,Gelato cioccolato 1L,Nestlé,Surgelati,Verdure surgelate,g,179,16,OK,15.36,22.52,46.6,10,BioItalia Srl,L04,2027-08-23
SKU11153,Rosmarino essiccato,Bertolli,Condimenti e Spezie,Salse,L,102,25,OK,15.9,22.39,40.8,10,Nord Food SpA,A03,2027-01-02
SKU11158,Acciughe sott'olio,Callipo,Pesce,Molluschi,conf,150,26,OK,10.66,14.23,33.5,10,Agrimax Coop,F14,2026-06-28
SKU11166,Brie,Sterilgarda,Latticini e Uova,Burro e Panna,pz,36,28,OK,25.8,30.56,18.4,10,Macro Distribuzione,H12,2026-07-16
SKU11175,Kinder Bueno,Ferrero,Dolci e Snack,Biscotti,pz,81,19,OK,3.0,4.32,44.0,22,Distribuzione Sud Srl,B15,2026-10-17
SKU11181,Aceto di vino bianco 500ml,Knorr,Condimenti e Spezie,Aceto,g,62,28,OK,22.46,34.18,52.2,10,Agrimax Coop,F10,2028-04-19
SKU11188,Wafer al cioccolato,Ferrero,Dolci e Snack,Snack salati,g,110,26,OK,17.74,21.72,22.4,22,Fresh Logistics Srl,D06,2027-12-28
SKU11195,Pane bianco a fette,Galbusera,Pane e Bakery,Pane,conf,203,30,OK,6.0,8.71,45.2,10,Nord Food SpA,J03,2026-07-14
SKU11201,Fagioli cannellini in scatola,Heinz,Conserve e Legumi,Verdure conservate,pz,135,20,OK,3.46,4.91,41.9,10,Frigo Transport SpA,K07,2028-01-28
SKU11203,Olive nere,Heinz,Conserve e Legumi,Verdure conservate,pz,204,27,OK,17.4,25.67,47.5,10,Fresh Logistics Srl,B07,2028-11-10
SKU11206,Pomodori a cubetti 400g,Cirio,Conserve e Legumi,Condimenti,ml,36,27,OK,8.76,10.72,22.4,10,Fresh Logistics Srl,C06,2028-08-02
SKU11213,Baguette,SmartBuy,Pane e Bakery,Pane,pz,142,10,OK,19.51,27.47,40.8,10,Import & Export Frescura,C06,2026-07-14
SKU11219,Patatine classiche,Mulino Bianco,Dolci e Snack,Cioccolato,pz,34,20,OK,24.27,37.15,53.1,22,Continental Trade,I10,2028-02-12
SKU11226,Sale grosso 1kg,Heinz,Condimenti e Spezie,Olio,ml,21,10,OK,19.97,26.51,32.7,10,Import & Export Frescura,A09,2027-07-02
SKU11230,Calamari surgelati,Bird's Eye,Surgelati,Gelati,conf,196,29,OK,21.93,30.18,37.6,10,Continental Trade,B14,2028-04-02
SKU11232,Farro 500g,Garofalo,Pasta e Riso,Cereali secchi,g,184,29,OK,15.31,22.24,45.3,4,Frigo Transport SpA,B12,2029-01-14
SKU11236,Spaghetti integrali 500g,Gallo,Pasta e Riso,Pasta corta,g,112,7,OK,7.58,11.33,49.5,4,BioItalia Srl,K01,2028-11-27
SKU11242,Spazzolino manuale x2,Head & Shoulders,Igiene Personale,Cura capelli,ml,52,30,OK,12.16,16.98,39.6,22,Fresh Logistics Srl,F15,2030-06-20
SKU11247,Energy drink,Sanpellegrino,Bevande,Succhi,L,146,14,OK,9.27,13.27,43.1,22,Agrimax Coop,H01,2027-02-21
SKU11252,Aceto di vino rosso 500ml,Knorr,Condimenti e Spezie,Aceto,g,82,27,OK,24.29,30.36,25.0,10,Frigo Transport SpA,I06,2027-02-16
SKU11257,Salsa Worcester,Heinz,Condimenti e Spezie,Spezie,g,23,29,CRITICO,12.82,17.99,40.3,10,Import & Export Frescura,L13,2027-10-06
SKU11265,Cioccolato bianco,Nestlé,Dolci e Snack,Snack salati,conf,23,28,CRITICO,0.37,0.54,45.9,22,Macro Distribuzione,B02,2028-03-24
SKU11272,Calamari,Rio Mare,Pesce,Molluschi,conf,86,14,OK,14.0,17.91,27.9,10,Agrimax Coop,J10,2026-07-05
SKU11278,Zafferano,Bertolli,Condimenti e Spezie,Olio,ml,4,19,CRITICO,1.57,2.2,40.1,10,Mediterr. Foods,H12,2026-09-24
SKU11285,Tonno in scatola al naturale,Benessere,Pesce,Molluschi,g,23,13,OK,4.7,7.16,52.3,10,Import & Export Frescura,B07,2026-07-03
SKU11288,Pomodori ramati,Benessere,Frutta e Verdura,Frutta fresca,kg,167,18,OK,20.41,29.64,45.2,4,Distribuzione Sud Srl,D10,2026-07-05
SKU11290,Bresaola,Beretta,Carne,Pollame,kg,178,5,OK,14.69,19.51,32.8,10,Frigo Transport SpA,L13,2026-06-30
SKU11298,Asiago,Sterilgarda,Latticini e Uova,Burro e Panna,pz,80,8,OK,2.77,4.08,47.3,10,Agrimax Coop,G08,2026-07-11
SKU11301,Uova biologiche x6,Müller,Latticini e Uova,Formaggi,conf,89,19,OK,0.53,0.75,41.5,10,Frigo Transport SpA,K08,2026-07-31
SKU11305,Mozzarella fior di latte,Grana Padano DOP,Latticini e Uova,Yogurt,pz,89,17,OK,21.14,29.3,38.6,10,Agrimax Coop,E04,2026-07-20
SKU11307,Baccalà secco,MarcaRe,Pesce,Molluschi,conf,52,14,OK,23.79,33.62,41.3,10,Continental Trade,D04,2026-07-09
SKU11314,Gnocchi di patate freschi,Barilla,Pasta e Riso,Cereali secchi,g,126,12,OK,22.01,32.3,46.8,4,BioItalia Srl,I08,2028-10-06
SKU11316,Spinaci surgelati 1kg,Algida,Surgelati,Piatti pronti,conf,107,23,OK,26.17,31.48,20.3,10,Agrimax Coop,I01,2026-11-07
SKU11317,"Acqua naturale 0,5L",Nestlé Pure Life,Bevande,Alcol,cl,242,6,OK,7.56,8.81,16.5,22,Continental Trade,H02,2028-02-29
SKU11324,Uova allevamento terra,Müller,Latticini e Uova,Uova,conf,20,14,OK,17.36,21.89,26.1,10,Agrimax Coop,J03,2026-07-23
SKU11331,Birra Moretti 33cl,Levissima,Bevande,Bibite,L,14,12,OK,8.89,11.78,32.5,22,Frigo Transport SpA,B15,2028-03-31
SKU11332,Pasta fresca all'uovo,Buitoni,Pasta e Riso,Pasta lunga,g,181,5,OK,18.53,22.61,22.0,4,Agrimax Coop,I08,2027-12-13
SKU11341,Gamberetti surgelati,Bird's Eye,Surgelati,Verdure surgelate,g,187,13,OK,10.6,15.37,45.0,10,Macro Distribuzione,H05,2027-05-30
SKU11350,Scamorza affumicata,Danone,Latticini e Uova,Uova,pz,116,20,OK,27.31,38.26,40.1,10,Distribuzione Sud Srl,I08,2026-08-08
SKU11353,Fagioli borlotti in scatola,Valfrutta,Conserve e Legumi,Pomodoro,g,185,26,OK,21.72,32.75,50.8,10,Continental Trade,A01,2027-02-06
SKU11354,Branzino intero,Callipo,Pesce,Pesce fresco,conf,238,10,OK,10.38,15.76,51.8,10,Frigo Transport SpA,D13,2026-07-03
SKU11358,Cracker classici,Gran Cereale,Pane e Bakery,Fette biscottate,g,128,8,OK,23.18,31.96,37.9,10,Agrimax Coop,D13,2026-08-05
SKU11359,Pane di segale,Benessere,Pane e Bakery,Grissini e Crackers,g,141,7,OK,21.73,27.69,27.4,10,Macro Distribuzione,D07,2026-07-21
SKU11364,Spazzolino manuale x2,L'Oréal,Igiene Personale,Cura capelli,pz,197,20,OK,13.15,18.23,38.6,22,Continental Trade,E03,2028-04-29
SKU11365,Pane bianco a fette,Galbusera,Pane e Bakery,Pane,pz,224,27,OK,15.3,21.49,40.5,10,Distribuzione Sud Srl,L04,2026-07-27
SKU11370,Fontina,Müller,Latticini e Uova,Formaggi,pz,248,6,OK,27.53,36.28,31.8,10,Nord Food SpA,A12,2026-07-17
SKU11379,Cracker integrali,MarcaRe,Pane e Bakery,Grissini e Crackers,g,209,25,OK,16.39,22.16,35.2,10,Fresh Logistics Srl,J11,2026-07-06
SKU11386,Aceto di vino rosso 500ml,Carli,Condimenti e Spezie,Salse,L,100,30,OK,8.38,12.49,49.0,10,Mediterr. Foods,E10,2027-05-21
SKU11388,Tonno in scatola al naturale,MarcaRe,Pesce,Pesce conservato,kg,80,19,OK,4.6,5.59,21.5,10,Continental Trade,G02,2026-07-10
SKU11392,Cioccolato fondente 70%,Ferrero,Dolci e Snack,Merendine,conf,206,10,OK,7.64,9.15,19.8,22,Fresh Logistics Srl,A11,2027-05-02
SKU11398,Bistecca di manzo,Beretta,Carne,Pollame,conf,173,6,OK,27.12,35.49,30.9,10,Agrimax Coop,A08,2026-07-04
SKU11406,Cornetto classico x6,Bird's Eye,Surgelati,Verdure surgelate,g,35,30,OK,2.92,3.48,19.2,10,Distribuzione Sud Srl,D12,2027-01-05
SKU11410,Cracker integrali,Mulino Bianco,Pane e Bakery,Pane,g,5,7,CRITICO,16.43,20.6,25.4,10,Mediterr. Foods,C03,2026-07-08
SKU11416,Latte scremato,Sterilgarda,Latticini e Uova,Yogurt,kg,210,18,OK,1.7,2.58,51.8,10,Distribuzione Sud Srl,G08,2026-07-30
SKU11419,Fagioli cannellini in scatola,Cirio,Conserve e Legumi,Legumi,pz,8,9,CRITICO,7.92,10.52,32.8,10,Import & Export Frescura,I08,2028-02-17
SKU11428,Biscotti integrali,Mulino Bianco,Dolci e Snack,Cioccolato,conf,164,11,OK,8.05,9.7,20.5,22,Continental Trade,A05,2027-10-20
SKU11434,Plumcake,Ferrero,Dolci e Snack,Merendine,g,99,15,OK,9.83,13.53,37.6,22,Distribuzione Sud Srl,F07,2028-05-27
SKU11438,Basilico,Bonduelle,Frutta e Verdura,Verdura fresca,conf,91,21,OK,1.92,2.97,54.7,4,Nord Food SpA,E04,2026-07-08
SKU11442,Farro 500g,Buitoni,Pasta e Riso,Cereali secchi,kg,147,12,OK,1.85,2.86,54.6,4,Agrimax Coop,D01,2027-08-22
SKU11448,Guanti lattice x10,Scottex,Pulizia Casa,Detersivi cucina,rotoli,90,27,OK,25.62,29.75,16.1,22,BioItalia Srl,I07,2029-03-19
SKU11451,Biscotti integrali,Mulino Bianco,Dolci e Snack,Snack salati,g,134,5,OK,1.86,2.59,39.2,22,Macro Distribuzione,K08,2027-04-18
SKU11454,Fagioli borlotti in scatola,Valfrutta,Conserve e Legumi,Legumi,g,234,27,OK,1.95,2.36,21.0,10,Continental Trade,G04,2027-03-07
SKU11460,Crema mani 100ml,Gillette,Igiene Personale,Cura capelli,pz,249,9,OK,3.1,3.94,27.1,22,Frigo Transport SpA,K14,2030-03-19
SKU11466,Porchetta,Fiorucci,Carne,Pollame,pz,96,10,OK,6.48,8.98,38.6,10,Import & Export Frescura,C03,2026-06-30
SKU11467,Collutorio 500ml,Oral-B,Igiene Personale,Cura capelli,pz,8,23,CRITICO,23.87,34.81,45.8,22,Macro Distribuzione,K07,2028-09-20
SKU11469,Oreo,Bauli,Dolci e Snack,Biscotti,conf,42,15,OK,20.95,26.09,24.5,22,Macro Distribuzione,H10,2026-10-05
SKU11474,Acciughe sott'olio,MarcaRe,Pesce,Pesce fresco,g,0,28,ESAURITO,10.01,14.66,46.5,10,Mediterr. Foods,H03,2026-06-30
SKU11481,Ferrero Rocher 16pz,Bauli,Dolci e Snack,Cioccolato,g,201,20,OK,15.42,18.36,19.1,22,Mediterr. Foods,B04,2026-10-28
SKU11486,Mango,Bonduelle,Frutta e Verdura,Funghi,conf,227,10,OK,26.66,31.45,18.0,4,Nord Food SpA,J06,2026-06-29
SKU11492,Birra Peroni 33cl,Yoga,Bevande,Alcol,ml,42,25,OK,19.81,26.2,32.3,22,Distribuzione Sud Srl,B11,2027-11-27
SKU11496,Calamari,SmartBuy,Pesce,Pesce conservato,g,169,13,OK,20.3,29.27,44.2,10,BioItalia Srl,B10,2026-06-28
SKU11503,Energy drink,Yoga,Bevande,Succhi,pz,22,18,OK,4.55,5.89,29.5,22,BioItalia Srl,B10,2027-01-18
SKU11507,Wurstel di pollo,Fiorucci,Carne,Salumi,conf,78,8,OK,27.36,36.65,34.0,10,Mediterr. Foods,L05,2026-07-02
SKU11509,Pepe in grani,Heinz,Condimenti e Spezie,Spezie,ml,47,16,OK,5.42,8.15,50.4,10,Import & Export Frescura,H08,2028-01-13
SKU11514,Salmone affumicato,MarcaRe,Pesce,Molluschi,g,21,8,OK,4.49,6.41,42.8,10,Continental Trade,H01,2026-07-10
SKU11518,Piselli surgelati 1kg,Nestlé,Surgelati,Gelati,conf,175,22,OK,22.97,30.26,31.7,10,BioItalia Srl,I02,2027-06-27
SKU11520,Pane integrale a fette,Galbusera,Pane e Bakery,Pane,g,242,10,OK,3.63,5.27,45.2,10,BioItalia Srl,C03,2026-07-05
SKU11527,Yogurt ai frutti di bosco,Grana Padano DOP,Latticini e Uova,Burro e Panna,L,66,24,OK,27.92,39.11,40.1,10,Nord Food SpA,G10,2026-08-07
SKU11534,Pizza margherita surgelata,Algida,Surgelati,Gelati,g,201,5,OK,14.7,22.3,51.7,10,Frigo Transport SpA,C09,2027-01-23
SKU11536,Mozzarella fior di latte,Yomo,Latticini e Uova,Yogurt,pz,224,16,OK,8.22,11.21,36.4,10,Frigo Transport SpA,L03,2026-08-03
SKU11544,Pesche,Bonduelle,Frutta e Verdura,Funghi,kg,177,26,OK,11.46,16.01,39.7,4,Frigo Transport SpA,F10,2026-07-09
SKU11548,Fagiolini,Bonduelle,Frutta e Verdura,Erbe aromatiche,mazzo,86,5,OK,25.81,38.94,50.9,4,Import & Export Frescura,I06,2026-07-09
SKU11550,Tonno in scatola al naturale,Callipo,Pesce,Molluschi,g,68,15,OK,27.29,36.22,32.7,10,Fresh Logistics Srl,L01,2026-06-29
SKU11554,Wafer alla vaniglia,Ferrero,Dolci e Snack,Biscotti,conf,210,16,OK,20.82,30.27,45.4,22,Agrimax Coop,B02,2027-08-08
SKU11563,Ciabatta,Mulino Bianco,Pane e Bakery,Pane,g,214,11,OK,5.11,7.67,50.1,10,Distribuzione Sud Srl,H12,2026-07-06
SKU11569,Sapone solido 100g,Dove,Igiene Personale,Detersivi corpo,pz,162,17,OK,10.5,14.02,33.5,22,Distribuzione Sud Srl,E02,2029-07-27
SKU11577,Succo di frutta mix,Sanpellegrino,Bevande,Succhi,ml,89,22,OK,26.91,36.05,34.0,22,Import & Export Frescura,L12,2027-03-25
SKU11582,Mirtilli,EasyShop,Frutta e Verdura,Verdura fresca,conf,219,11,OK,23.95,35.01,46.2,4,BioItalia Srl,E09,2026-07-08
SKU11589,Spinaci surgelati 1kg,Findus,Surgelati,Verdure surgelate,g,153,10,OK,13.43,16.16,20.3,10,Import & Export Frescura,K06,2027-07-03
SKU11594,Taralli pugliesi,Gran Cereale,Pane e Bakery,Fette biscottate,conf,173,14,OK,13.01,16.1,23.8,10,Frigo Transport SpA,J15,2026-07-09
SKU11595,Pizza prosciutto surgelata,Rana,Surgelati,Verdure surgelate,kg,175,14,OK,18.23,25.41,39.4,10,Nord Food SpA,F12,2027-06-04
SKU11601,Linguine 500g,Buitoni,Pasta e Riso,Pasta lunga,g,48,14,OK,20.0,30.14,50.7,4,Distribuzione Sud Srl,K04,2028-02-09
SKU11607,Aceto di vino rosso 500ml,Knorr,Condimenti e Spezie,Spezie,L,66,14,OK,1.01,1.36,34.7,10,Frigo Transport SpA,A10,2028-05-13
SKU11611,Ceci in scatola,Star,Conserve e Legumi,Verdure conservate,g,91,26,OK,17.98,24.1,34.0,10,Continental Trade,D02,2027-10-19
SKU11613,Oreo,Kinder,Dolci e Snack,Cioccolato,conf,233,29,OK,7.46,10.99,47.3,22,Macro Distribuzione,L03,2026-12-24
SKU11617,Ceci in scatola,Valfrutta,Conserve e Legumi,Verdure conservate,ml,66,16,OK,11.95,17.98,50.5,10,Nord Food SpA,I01,2027-02-15
SKU11619,Wafer alla vaniglia,Nestlé,Dolci e Snack,Snack salati,g,76,21,OK,3.62,5.15,42.3,22,Agrimax Coop,C06,2027-04-17
SKU11625,Crackers senza glutine,EasyShop,Pane e Bakery,Grissini e Crackers,pz,20,29,CRITICO,9.06,13.01,43.6,10,Agrimax Coop,F06,2026-07-06
SKU11626,Cioccolato al latte 100g,Pavesi,Dolci e Snack,Snack salati,g,40,29,OK,21.39,26.04,21.7,22,Agrimax Coop,K08,2027-12-12
SKU11633,Gallette di riso,Natura+,Pane e Bakery,Pane,pz,95,28,OK,0.43,0.59,37.2,10,Continental Trade,D04,2026-07-04
SKU11634,Curry,Carli,Condimenti e Spezie,Olio,L,33,14,OK,6.57,9.86,50.1,10,Continental Trade,K01,2027-08-03
SKU11637,Latte scremato,Parmigiano Reggiano,Latticini e Uova,Uova,pz,152,21,OK,26.57,35.4,33.2,10,Frigo Transport SpA,L11,2026-07-11
SKU11643,Kinder Bueno,Pavesi,Dolci e Snack,Biscotti,g,103,30,OK,4.87,7.37,51.3,22,BioItalia Srl,C04,2027-04-28
SKU11644,Tè freddo alla pesca,Sanpellegrino,Bevande,Alcol,cl,9,30,CRITICO,3.71,5.32,43.4,22,Continental Trade,K10,2027-02-10
SKU11645,Aceto di vino bianco 500ml,Knorr,Condimenti e Spezie,Spezie,L,106,8,OK,23.46,27.43,16.9,10,Nord Food SpA,J06,2027-06-09
SKU11653,Gel doccia neutro 500ml,L'Oréal,Igiene Personale,Detersivi corpo,pz,107,14,OK,19.56,27.43,40.2,22,Continental Trade,E10,2028-04-01
SKU11660,Uova fresche L x6,Danone,Latticini e Uova,Yogurt,conf,27,30,CRITICO,17.41,21.99,26.3,10,Fresh Logistics Srl,D07,2026-07-19
SKU11669,Vongole,Natura+,Pesce,Pesce fresco,conf,233,20,OK,8.48,9.89,16.6,10,Mediterr. Foods,F10,2026-07-01
SKU11670,Patate dolci,MarcaRe,Frutta e Verdura,Frutta fresca,kg,243,9,OK,23.44,33.23,41.8,4,Nord Food SpA,E06,2026-07-08
SKU11674,Cioccolato fondente 70%,Bauli,Dolci e Snack,Biscotti,pz,223,10,OK,13.16,15.66,19.0,22,Macro Distribuzione,L09,2027-08-10
SKU11681,Maschera capelli 300ml,Nivea,Igiene Personale,Cura capelli,pz,218,5,OK,23.88,35.97,50.6,22,Agrimax Coop,F10,2029-06-27
SKU11689,Aranciata Sanpellegrino 330ml,Levissima,Bevande,Alcol,pz,102,8,OK,10.62,13.67,28.7,22,Import & Export Frescura,G09,2028-11-28
SKU11697,Detersivo vetri spray,Fairy,Pulizia Casa,Detersivi cucina,ml,241,6,OK,3.43,4.9,42.9,22,Frigo Transport SpA,K02,2030-03-10
SKU11705,Pancetta affumicata,Benessere,Carne,Suino,conf,249,28,OK,17.23,25.76,49.5,10,Mediterr. Foods,B14,2026-07-04
SKU11713,Arance,Bonduelle,Frutta e Verdura,Verdura fresca,mazzo,134,26,OK,18.44,21.3,15.5,4,Continental Trade,I14,2026-07-09
SKU11715,Filone rustico,Benessere,Pane e Bakery,Fette biscottate,conf,214,9,OK,18.68,26.27,40.6,10,Distribuzione Sud Srl,A03,2026-07-13
SKU11724,Merendine al cacao,Pavesi,Dolci e Snack,Merendine,g,84,12,OK,2.37,3.19,34.6,22,Continental Trade,D13,2028-04-09
